GEOID,NAME,population,year
0100100,"Abanda CDP, Alabama",192,2010
0100100,"Abanda CDP, Alabama",133,2020
0100124,"Abbeville city, Alabama",2987,2000
0100124,"Abbeville city, Alabama",2688,2010
0100124,"Abbeville city, Alabama",2358,2020
0100460,"Adamsville city, Alabama",4965,2000
0100460,"Adamsville city, Alabama",4522,2010
0100460,"Adamsville city, Alabama",4366,2020
0100484,"Addison town, Alabama",723,2000
0100484,"Addison town, Alabama",758,2010
0100484,"Addison town, Alabama",659,2020
0100676,"Akron town, Alabama",521,2000
0100676,"Akron town, Alabama",356,2010
0100676,"Akron town, Alabama",225,2020
0100820,"Alabaster city, Alabama",22619,2000
0100820,"Alabaster city, Alabama",30352,2010
0100820,"Alabaster city, Alabama",33284,2020
0100988,"Albertville city, Alabama",17247,2000
0100988,"Albertville city, Alabama",21160,2010
0100988,"Albertville city, Alabama",22386,2020
0101132,"Alexander City city, Alabama",15008,2000
0101132,"Alexander City city, Alabama",14875,2010
0101132,"Alexander City city, Alabama",14843,2020
0101180,"Alexandria CDP, Alabama",3692,2000
0101180,"Alexandria CDP, Alabama",3917,2010
0101180,"Alexandria CDP, Alabama",4032,2020
0101228,"Aliceville city, Alabama",2567,2000
0101228,"Aliceville city, Alabama",2486,2010
0101228,"Aliceville city, Alabama",2177,2020
0101396,"Allgood town, Alabama",629,2000
0101396,"Allgood town, Alabama",622,2010
0101396,"Allgood town, Alabama",548,2020
0101660,"Altoona town, Alabama",984,2000
0101660,"Altoona town, Alabama",933,2010
0101660,"Altoona town, Alabama",948,2020
0101708,"Andalusia city, Alabama",8794,2000
0101708,"Andalusia city, Alabama",9015,2010
0101708,"Andalusia city, Alabama",8805,2020
0101756,"Anderson town, Alabama",354,2000
0101756,"Anderson town, Alabama",282,2010
0101756,"Anderson town, Alabama",254,2020
0101852,"Anniston city, Alabama",24276,2000
0101852,"Anniston city, Alabama",23106,2010
0101852,"Anniston city, Alabama",21564,2020
0102116,"Arab city, Alabama",7174,2000
0102116,"Arab city, Alabama",8050,2010
0102116,"Arab city, Alabama",8461,2020
0102260,"Ardmore town, Alabama",1034,2000
0102260,"Ardmore town, Alabama",1194,2010
0102260,"Ardmore town, Alabama",1321,2020
0102320,"Argo town, Alabama",1780,2000
0102320,"Argo town, Alabama",4071,2010
0102320,"Argo town, Alabama",4368,2020
0102428,"Ariton town, Alabama",772,2000
0102428,"Ariton town, Alabama",764,2010
0102428,"Ariton town, Alabama",662,2020
0102500,"Arley town, Alabama",290,2000
0102500,"Arley town, Alabama",357,2010
0102500,"Arley town, Alabama",330,2020
0102836,"Ashford city, Alabama",1853,2000
0102836,"Ashford town, Alabama",2148,2010
0102836,"Ashford town, Alabama",2246,2020
0102860,"Ashland city, Alabama",1965,2000
0102860,"Ashland town, Alabama",2037,2010
0102860,"Ashland town, Alabama",1984,2020
0102908,"Ashville town, Alabama",2260,2000
0102908,"Ashville city, Alabama",2212,2010
0102908,"Ashville city, Alabama",2346,2020
0102956,"Athens city, Alabama",18967,2000
0102956,"Athens city, Alabama",21897,2010
0102956,"Athens city, Alabama",25406,2020
0103004,"Atmore city, Alabama",7676,2000
0103004,"Atmore city, Alabama",10194,2010
0103004,"Atmore city, Alabama",8391,2020
0103028,"Attalla city, Alabama",6592,2000
0103028,"Attalla city, Alabama",6048,2010
0103028,"Attalla city, Alabama",5827,2020
0103076,"Auburn city, Alabama",42987,2000
0103076,"Auburn city, Alabama",53380,2010
0103076,"Auburn city, Alabama",76143,2020
0103220,"Autaugaville town, Alabama",820,2000
0103220,"Autaugaville town, Alabama",870,2010
0103220,"Autaugaville town, Alabama",795,2020
0103364,"Avon town, Alabama",466,2000
0103364,"Avon town, Alabama",543,2010
0103364,"Avon town, Alabama",465,2020
0103508,"Axis CDP, Alabama",757,2010
0103508,"Axis CDP, Alabama",561,2020
0103556,"Babbie town, Alabama",627,2000
0103556,"Babbie town, Alabama",603,2010
0103556,"Babbie town, Alabama",625,2020
0103676,"Baileyton town, Alabama",684,2000
0103676,"Baileyton town, Alabama",610,2010
0103676,"Baileyton town, Alabama",649,2020
0103724,"Bakerhill town, Alabama",279,2010
0103724,"Bakerhill town, Alabama",211,2020
0103820,"Ballplay CDP, Alabama",1580,2010
0103820,"Ballplay CDP, Alabama",1437,2020
0103940,"Banks town, Alabama",224,2000
0103940,"Banks town, Alabama",179,2010
0103940,"Banks town, Alabama",156,2020
0104660,"Bay Minette city, Alabama",7820,2000
0104660,"Bay Minette city, Alabama",8044,2010
0104660,"Bay Minette city, Alabama",8107,2020
0104684,"Bayou La Batre city, Alabama",2313,2000
0104684,"Bayou La Batre city, Alabama",2558,2010
0104684,"Bayou La Batre city, Alabama",2204,2020
0104852,"Bear Creek town, Alabama",1053,2000
0104852,"Bear Creek town, Alabama",1070,2010
0104852,"Bear Creek town, Alabama",1047,2020
0104900,"Beatrice town, Alabama",412,2000
0104900,"Beatrice town, Alabama",301,2010
0104900,"Beatrice town, Alabama",204,2020
0104948,"Beaverton town, Alabama",226,2000
0104948,"Beaverton town, Alabama",201,2010
0104948,"Beaverton town, Alabama",187,2020
0105140,"Belgreen CDP, Alabama",129,2010
0105140,"Belgreen CDP, Alabama",170,2020
0105164,"Belk town, Alabama",214,2000
0105164,"Belk town, Alabama",215,2010
0105164,"Belk town, Alabama",186,2020
0105188,"Bellamy CDP, Alabama",543,2010
0105188,"Bellamy CDP, Alabama",363,2020
0105212,"Belle Fontaine CDP, Alabama",608,2010
0105212,"Belle Fontaine CDP, Alabama",613,2020
0105692,"Benton town, Alabama",47,2000
0105692,"Benton town, Alabama",49,2010
0105692,"Benton town, Alabama",41,2020
0105812,"Berlin town, Alabama",476,2020
0105932,"Berry town, Alabama",1238,2000
0105932,"Berry town, Alabama",1148,2010
0105932,"Berry town, Alabama",1216,2020
0105980,"Bessemer city, Alabama",29672,2000
0105980,"Bessemer city, Alabama",27456,2010
0105980,"Bessemer city, Alabama",26019,2020
0106460,"Billingsley town, Alabama",116,2000
0106460,"Billingsley town, Alabama",144,2010
0106460,"Billingsley town, Alabama",125,2020
0107000,"Birmingham city, Alabama",242820,2000
0107000,"Birmingham city, Alabama",212237,2010
0107000,"Birmingham city, Alabama",200733,2020
0107120,"Black town, Alabama",202,2000
0107120,"Black town, Alabama",207,2010
0107120,"Black town, Alabama",221,2020
0107456,"Blountsville town, Alabama",1768,2000
0107456,"Blountsville town, Alabama",1684,2010
0107456,"Blountsville town, Alabama",1826,2020
0107552,"Blue Mountain town, Alabama",233,2000
0107588,"Blue Ridge CDP, Alabama",1331,2000
0107588,"Blue Ridge CDP, Alabama",1341,2010
0107588,"Blue Ridge CDP, Alabama",1485,2020
0107672,"Blue Springs town, Alabama",121,2000
0107672,"Blue Springs town, Alabama",96,2010
0107672,"Blue Springs town, Alabama",84,2020
0107912,"Boaz city, Alabama",7411,2000
0107912,"Boaz city, Alabama",9551,2010
0107912,"Boaz city, Alabama",10107,2020
0108104,"Boligee town, Alabama",369,2000
0108104,"Boligee town, Alabama",328,2010
0108104,"Boligee town, Alabama",301,2020
0108248,"Bon Air town, Alabama",96,2000
0108248,"Bon Air town, Alabama",116,2010
0108248,"Bon Air town, Alabama",172,2020
0108272,"Bon Secour CDP, Alabama",1754,2020
0108680,"Boykin CDP, Alabama",275,2010
0108680,"Boykin CDP, Alabama",208,2020
0108920,"Branchville town, Alabama",825,2000
0109016,"Brantley town, Alabama",920,2000
0109016,"Brantley town, Alabama",809,2010
0109016,"Brantley town, Alabama",825,2020
0109064,"Brantleyville CDP, Alabama",884,2010
0109064,"Brantleyville CDP, Alabama",931,2020
0109136,"Brent city, Alabama",4024,2000
0109136,"Brent city, Alabama",4947,2010
0109136,"Brent city, Alabama",2972,2020
0109208,"Brewton city, Alabama",5498,2000
0109208,"Brewton city, Alabama",5408,2010
0109208,"Brewton city, Alabama",5276,2020
0109328,"Bridgeport city, Alabama",2728,2000
0109328,"Bridgeport city, Alabama",2418,2010
0109328,"Bridgeport city, Alabama",2264,2020
0109400,"Brighton city, Alabama",3640,2000
0109400,"Brighton city, Alabama",2945,2010
0109400,"Brighton city, Alabama",2337,2020
0109424,"Brilliant town, Alabama",762,2000
0109424,"Brilliant town, Alabama",900,2010
0109424,"Brilliant town, Alabama",845,2020
0109457,"Bristow Cove CDP, Alabama",683,2010
0109457,"Bristow Cove CDP, Alabama",624,2020
0109500,"Brook Highland CDP, Alabama",6746,2010
0109500,"Brook Highland CDP, Alabama",7406,2020
0109736,"Brookside town, Alabama",1393,2000
0109736,"Brookside town, Alabama",1363,2010
0109736,"Brookside town, Alabama",1253,2020
0109808,"Brookwood town, Alabama",1483,2000
0109808,"Brookwood town, Alabama",1828,2010
0109808,"Brookwood town, Alabama",2504,2020
0109880,"Broomtown CDP, Alabama",182,2010
0109880,"Broomtown CDP, Alabama",160,2020
0110240,"Brundidge city, Alabama",2341,2000
0110240,"Brundidge city, Alabama",2076,2010
0110240,"Brundidge city, Alabama",2073,2020
0110456,"Bucks CDP, Alabama",32,2010
0110456,"Bucks CDP, Alabama",22,2020
0111032,"Butler city, Alabama",1952,2000
0111032,"Butler town, Alabama",1894,2010
0111032,"Butler town, Alabama",1871,2020
0111128,"Bynum CDP, Alabama",1863,2000
0111248,"Cahaba Heights CDP, Alabama",5203,2000
0111416,"Calera city, Alabama",3158,2000
0111416,"Calera city, Alabama",11620,2010
0111416,"Calera city, Alabama",16494,2020
0111488,"Calvert CDP, Alabama",277,2010
0111488,"Calvert CDP, Alabama",255,2020
0111512,"Camden town, Alabama",2257,2000
0111512,"Camden city, Alabama",2020,2010
0111512,"Camden city, Alabama",1927,2020
0111680,"Camp Hill town, Alabama",1273,2000
0111680,"Camp Hill town, Alabama",1014,2010
0111680,"Camp Hill town, Alabama",1006,2020
0112016,"Carbon Hill city, Alabama",2071,2000
0112016,"Carbon Hill city, Alabama",2021,2010
0112016,"Carbon Hill city, Alabama",1769,2020
0112040,"Cardiff town, Alabama",82,2000
0112040,"Cardiff town, Alabama",55,2010
0112040,"Cardiff town, Alabama",52,2020
0112070,"Carlisle-Rockledge CDP, Alabama",2137,2010
0112070,"Carlisle-Rockledge CDP, Alabama",2167,2020
0112112,"Carlton CDP, Alabama",65,2010
0112112,"Carlton CDP, Alabama",46,2020
0112160,"Carolina town, Alabama",248,2000
0112160,"Carolina town, Alabama",297,2010
0112160,"Carolina town, Alabama",286,2020
0112304,"Carrollton town, Alabama",987,2000
0112304,"Carrollton town, Alabama",1019,2010
0112304,"Carrollton town, Alabama",1023,2020
0112496,"Castleberry town, Alabama",590,2000
0112496,"Castleberry town, Alabama",583,2010
0112496,"Castleberry town, Alabama",486,2020
0112544,"Catherine CDP, Alabama",22,2010
0112544,"Catherine CDP, Alabama",65,2020
0112760,"Cedar Bluff town, Alabama",1467,2000
0112760,"Cedar Bluff town, Alabama",1820,2010
0112760,"Cedar Bluff town, Alabama",1845,2020
0113264,"Center Point CDP, Alabama",22784,2000
0113264,"Center Point city, Alabama",16921,2010
0113264,"Center Point city, Alabama",16406,2020
0113648,"Centre city, Alabama",3216,2000
0113648,"Centre city, Alabama",3489,2010
0113648,"Centre city, Alabama",3587,2020
0113672,"Centreville city, Alabama",2466,2000
0113672,"Centreville city, Alabama",2778,2010
0113672,"Centreville city, Alabama",2800,2020
0113720,"Chalkville CDP, Alabama",3829,2000
0114008,"Chatom town, Alabama",1193,2000
0114008,"Chatom town, Alabama",1288,2010
0114008,"Chatom town, Alabama",1104,2020
0114104,"Chelsea town, Alabama",2949,2000
0114104,"Chelsea city, Alabama",10183,2010
0114104,"Chelsea city, Alabama",14982,2020
0114152,"Cherokee town, Alabama",1237,2000
0114152,"Cherokee town, Alabama",1048,2010
0114152,"Cherokee town, Alabama",970,2020
0114392,"Chickasaw city, Alabama",6364,2000
0114392,"Chickasaw city, Alabama",6106,2010
0114392,"Chickasaw city, Alabama",6457,2020
0114464,"Childersburg city, Alabama",4927,2000
0114464,"Childersburg city, Alabama",5175,2010
0114464,"Childersburg city, Alabama",4754,2020
0114728,"Choccolocco CDP, Alabama",2804,2010
0114728,"Choccolocco CDP, Alabama",2838,2020
0114968,"Chunchula CDP, Alabama",210,2010
0114968,"Chunchula CDP, Alabama",195,2020
0115064,"Citronelle city, Alabama",3659,2000
0115064,"Citronelle city, Alabama",3905,2010
0115064,"Citronelle city, Alabama",3946,2020
0115136,"Clanton city, Alabama",7800,2000
0115136,"Clanton city, Alabama",8619,2010
0115136,"Clanton city, Alabama",8768,2020
0115256,"Clay CDP, Alabama",4947,2000
0115256,"Clay city, Alabama",9708,2010
0115256,"Clay city, Alabama",10291,2020
0115304,"Clayhatchee town, Alabama",501,2000
0115304,"Clayhatchee town, Alabama",589,2010
0115304,"Clayhatchee town, Alabama",466,2020
0115376,"Clayton town, Alabama",1475,2000
0115376,"Clayton town, Alabama",3008,2010
0115376,"Clayton town, Alabama",2265,2020
0115472,"Cleveland town, Alabama",1241,2000
0115472,"Cleveland town, Alabama",1303,2010
0115472,"Cleveland town, Alabama",1245,2020
0115640,"Clio town, Alabama",2206,2000
0115640,"Clio city, Alabama",1399,2010
0115640,"Clio city, Alabama",1220,2020
0116000,"Coaling city, Alabama",1115,2000
0116000,"Coaling town, Alabama",1657,2010
0116000,"Coaling town, Alabama",2035,2020
0116080,"Coats Bend CDP, Alabama",1394,2010
0116080,"Coats Bend CDP, Alabama",1318,2020
0116240,"Coffee Springs town, Alabama",251,2000
0116240,"Coffee Springs town, Alabama",228,2010
0116240,"Coffee Springs town, Alabama",206,2020
0116264,"Coffeeville town, Alabama",360,2000
0116264,"Coffeeville town, Alabama",352,2010
0116264,"Coffeeville town, Alabama",263,2020
0116312,"Coker town, Alabama",808,2000
0116312,"Coker town, Alabama",979,2010
0116312,"Coker town, Alabama",904,2020
0116600,"Collinsville town, Alabama",1644,2000
0116600,"Collinsville town, Alabama",1983,2010
0116600,"Collinsville town, Alabama",2059,2020
0116684,"Colony town, Alabama",385,2000
0116684,"Colony town, Alabama",268,2010
0116684,"Colony town, Alabama",264,2020
0116744,"Columbia town, Alabama",804,2000
0116744,"Columbia town, Alabama",740,2010
0116744,"Columbia town, Alabama",690,2020
0116768,"Columbiana city, Alabama",3316,2000
0116768,"Columbiana city, Alabama",4197,2010
0116768,"Columbiana city, Alabama",4462,2020
0116936,"Concord CDP, Alabama",1809,2000
0116936,"Concord CDP, Alabama",1837,2010
0116936,"Concord CDP, Alabama",1690,2020
0117176,"Coosada town, Alabama",1382,2000
0117176,"Coosada town, Alabama",1224,2010
0117176,"Coosada town, Alabama",1217,2020
0117368,"Cordova city, Alabama",2423,2000
0117368,"Cordova city, Alabama",2095,2010
0117368,"Cordova city, Alabama",1728,2020
0117704,"Cottondale CDP, Alabama",3130,2020
0117824,"Cottonwood town, Alabama",1170,2000
0117824,"Cottonwood town, Alabama",1289,2010
0117824,"Cottonwood town, Alabama",1048,2020
0117968,"County Line town, Alabama",257,2000
0117968,"County Line town, Alabama",258,2010
0117968,"County Line town, Alabama",311,2020
0118040,"Courtland town, Alabama",769,2000
0118040,"Courtland town, Alabama",609,2010
0118040,"Courtland town, Alabama",583,2020
0118088,"Cowarts town, Alabama",1546,2000
0118088,"Cowarts town, Alabama",1871,2010
0118088,"Cowarts town, Alabama",1930,2020
0118304,"Creola town, Alabama",2002,2000
0118304,"Creola city, Alabama",1926,2010
0118304,"Creola city, Alabama",1936,2020
0118856,"Crossville town, Alabama",1431,2000
0118856,"Crossville town, Alabama",1862,2010
0118856,"Crossville town, Alabama",1830,2020
0118952,"Cuba town, Alabama",363,2000
0118952,"Cuba town, Alabama",346,2010
0118952,"Cuba town, Alabama",306,2020
0118976,"Cullman city, Alabama",13995,2000
0118976,"Cullman city, Alabama",14775,2010
0118976,"Cullman city, Alabama",18213,2020
0119024,"Cullomburg CDP, Alabama",171,2010
0119024,"Cullomburg CDP, Alabama",126,2020
0119216,"Cusseta town, Alabama",123,2010
0119216,"Cusseta town, Alabama",152,2020
0119336,"Dadeville city, Alabama",3212,2000
0119336,"Dadeville city, Alabama",3230,2010
0119336,"Dadeville city, Alabama",3084,2020
0119360,"Daleville city, Alabama",4653,2000
0119360,"Daleville city, Alabama",5295,2010
0119360,"Daleville city, Alabama",4866,2020
0119648,"Daphne city, Alabama",16581,2000
0119648,"Daphne city, Alabama",21570,2010
0119648,"Daphne city, Alabama",27462,2020
0119744,"Dauphin Island town, Alabama",1371,2000
0119744,"Dauphin Island town, Alabama",1238,2010
0119744,"Dauphin Island town, Alabama",1778,2020
0119816,"Daviston town, Alabama",267,2000
0119816,"Daviston town, Alabama",214,2010
0119816,"Daviston town, Alabama",174,2020
0119912,"Dayton town, Alabama",60,2000
0119912,"Dayton town, Alabama",52,2010
0119912,"Dayton town, Alabama",28,2020
0120008,"Deatsville town, Alabama",340,2000
0120008,"Deatsville town, Alabama",1154,2010
0120008,"Deatsville town, Alabama",1679,2020
0120104,"Decatur city, Alabama",53929,2000
0120104,"Decatur city, Alabama",55683,2010
0120104,"Decatur city, Alabama",57938,2020
0120152,"Deer Park CDP, Alabama",188,2010
0120152,"Deer Park CDP, Alabama",141,2020
0120272,"Delta CDP, Alabama",197,2010
0120272,"Delta CDP, Alabama",260,2020
0120296,"Demopolis city, Alabama",7540,2000
0120296,"Demopolis city, Alabama",7483,2010
0120296,"Demopolis city, Alabama",7162,2020
0120392,"Detroit town, Alabama",247,2000
0120392,"Detroit town, Alabama",237,2010
0120392,"Detroit town, Alabama",230,2020
0120955,"Dodge City town, Alabama",612,2000
0120955,"Dodge City town, Alabama",593,2010
0120955,"Dodge City town, Alabama",548,2020
0121136,"Dora city, Alabama",2413,2000
0121136,"Dora city, Alabama",2025,2010
0121136,"Dora city, Alabama",2297,2020
0121184,"Dothan city, Alabama",57737,2000
0121184,"Dothan city, Alabama",65496,2010
0121184,"Dothan city, Alabama",71072,2020
0121280,"Double Springs town, Alabama",1003,2000
0121280,"Double Springs town, Alabama",1083,2010
0121280,"Double Springs town, Alabama",1119,2020
0121328,"Douglas town, Alabama",530,2000
0121328,"Douglas town, Alabama",744,2010
0121328,"Douglas town, Alabama",761,2020
0121448,"Dozier town, Alabama",391,2000
0121448,"Dozier town, Alabama",329,2010
0121448,"Dozier town, Alabama",285,2020
0121890,"Dunnavant CDP, Alabama",981,2010
0121890,"Dunnavant CDP, Alabama",936,2020
0121952,"Dutton town, Alabama",310,2000
0121952,"Dutton town, Alabama",315,2010
0121952,"Dutton town, Alabama",330,2020
0122088,"Eagle Point CDP, Alabama",2903,2020
0122216,"East Brewton city, Alabama",2496,2000
0122216,"East Brewton city, Alabama",2478,2010
0122216,"East Brewton city, Alabama",2293,2020
0122504,"East Point CDP, Alabama",201,2010
0122504,"East Point CDP, Alabama",172,2020
0122816,"Eclectic town, Alabama",1037,2000
0122816,"Eclectic town, Alabama",1001,2010
0122816,"Eclectic town, Alabama",1193,2020
0123032,"Edgewater CDP, Alabama",730,2000
0123032,"Edgewater CDP, Alabama",883,2010
0123032,"Edgewater CDP, Alabama",746,2020
0123176,"Edwardsville town, Alabama",186,2000
0123176,"Edwardsville town, Alabama",202,2010
0123176,"Edwardsville town, Alabama",206,2020
0123224,"Egypt CDP, Alabama",932,2010
0123224,"Egypt CDP, Alabama",845,2020
0123296,"Elba city, Alabama",4185,2000
0123296,"Elba city, Alabama",3940,2010
0123296,"Elba city, Alabama",3508,2020
0123320,"Elberta town, Alabama",552,2000
0123320,"Elberta town, Alabama",1498,2010
0123320,"Elberta town, Alabama",1974,2020
0123344,"Eldridge town, Alabama",184,2000
0123344,"Eldridge town, Alabama",130,2010
0123344,"Eldridge town, Alabama",136,2020
0123488,"Elkmont town, Alabama",470,2000
0123488,"Elkmont town, Alabama",434,2010
0123488,"Elkmont town, Alabama",411,2020
0123656,"Elmore town, Alabama",199,2000
0123656,"Elmore town, Alabama",1262,2010
0123656,"Elmore town, Alabama",1280,2020
0123872,"Emelle town, Alabama",31,2000
0123872,"Emelle town, Alabama",53,2010
0123872,"Emelle town, Alabama",32,2020
0123880,"Emerald Mountain CDP, Alabama",2561,2010
0123880,"Emerald Mountain CDP, Alabama",3310,2020
0124184,"Enterprise city, Alabama",21178,2000
0124184,"Enterprise city, Alabama",26562,2010
0124184,"Enterprise city, Alabama",28711,2020
0124256,"Epes town, Alabama",206,2000
0124256,"Epes town, Alabama",192,2010
0124256,"Epes town, Alabama",272,2020
0124280,"Equality CDP, Alabama",150,2020
0124472,"Ethelsville town, Alabama",81,2000
0124472,"Ethelsville town, Alabama",81,2010
0124472,"Ethelsville town, Alabama",49,2020
0124568,"Eufaula city, Alabama",13908,2000
0124568,"Eufaula city, Alabama",13137,2010
0124568,"Eufaula city, Alabama",12882,2020
0124616,"Eunola town, Alabama",182,2000
0124616,"Eunola CDP, Alabama",243,2010
0124616,"Eunola CDP, Alabama",284,2020
0124664,"Eutaw city, Alabama",1878,2000
0124664,"Eutaw town, Alabama",2934,2010
0124664,"Eutaw town, Alabama",2937,2020
0124688,"Eva town, Alabama",491,2000
0124688,"Eva town, Alabama",519,2010
0124688,"Eva town, Alabama",589,2020
0124808,"Evergreen city, Alabama",3630,2000
0124808,"Evergreen city, Alabama",3944,2010
0124808,"Evergreen city, Alabama",3520,2020
0124880,"Excel town, Alabama",582,2000
0124880,"Excel town, Alabama",723,2010
0124880,"Excel town, Alabama",557,2020
0125120,"Fairfield city, Alabama",12381,2000
0125120,"Fairfield city, Alabama",11117,2010
0125120,"Fairfield city, Alabama",10000,2020
0125216,"Fairford CDP, Alabama",186,2010
0125216,"Fairford CDP, Alabama",161,2020
0125240,"Fairhope city, Alabama",12480,2000
0125240,"Fairhope city, Alabama",15326,2010
0125240,"Fairhope city, Alabama",22477,2020
0125384,"Fairview town, Alabama",522,2000
0125384,"Fairview town, Alabama",446,2010
0125384,"Fairview town, Alabama",543,2020
0125648,"Falkville town, Alabama",1202,2000
0125648,"Falkville town, Alabama",1279,2010
0125648,"Falkville town, Alabama",1197,2020
0125816,"Faunsdale town, Alabama",87,2000
0125816,"Faunsdale town, Alabama",98,2010
0125816,"Faunsdale town, Alabama",90,2020
0125840,"Fayette city, Alabama",4922,2000
0125840,"Fayette city, Alabama",4619,2010
0125840,"Fayette city, Alabama",4285,2020
0125864,"Fayetteville CDP, Alabama",1284,2010
0125864,"Fayetteville CDP, Alabama",1422,2020
0126152,"Fitzpatrick CDP, Alabama",83,2010
0126152,"Fitzpatrick CDP, Alabama",79,2020
0126200,"Five Points town, Alabama",146,2000
0126200,"Five Points town, Alabama",141,2010
0126200,"Five Points town, Alabama",114,2020
0126824,"Flomaton town, Alabama",1588,2000
0126824,"Flomaton town, Alabama",1440,2010
0126824,"Flomaton town, Alabama",1466,2020
0126848,"Florala city, Alabama",1964,2000
0126848,"Florala town, Alabama",1980,2010
0126848,"Florala town, Alabama",1923,2020
0126896,"Florence city, Alabama",36264,2000
0126896,"Florence city, Alabama",39319,2010
0126896,"Florence city, Alabama",40184,2020
0126992,"Foley city, Alabama",7590,2000
0126992,"Foley city, Alabama",14618,2010
0126992,"Foley city, Alabama",20335,2020
0127088,"Forestdale CDP, Alabama",10509,2000
0127088,"Forestdale CDP, Alabama",10162,2010
0127088,"Forestdale CDP, Alabama",10409,2020
0127376,"Forkland town, Alabama",629,2000
0127376,"Forkland town, Alabama",649,2010
0127376,"Forkland town, Alabama",445,2020
0127520,"Fort Deposit town, Alabama",1270,2000
0127520,"Fort Deposit town, Alabama",1344,2010
0127520,"Fort Deposit town, Alabama",1225,2020
0127616,"Fort Payne city, Alabama",12938,2000
0127616,"Fort Payne city, Alabama",14012,2010
0127616,"Fort Payne city, Alabama",14877,2020
0127640,"Fort Rucker CDP, Alabama",6052,2000
0127640,"Fort Rucker CDP, Alabama",4636,2010
0127640,"Fort Rucker CDP, Alabama",4464,2020
0128024,"Franklin town, Alabama",149,2000
0128024,"Franklin town, Alabama",149,2010
0128024,"Franklin town, Alabama",590,2020
0128120,"Fredonia CDP, Alabama",199,2010
0128120,"Fredonia CDP, Alabama",198,2020
0128312,"Frisco City town, Alabama",1460,2000
0128312,"Frisco City town, Alabama",1309,2010
0128312,"Frisco City town, Alabama",1170,2020
0128408,"Fruitdale CDP, Alabama",185,2010
0128408,"Fruitdale CDP, Alabama",175,2020
0128432,"Fruithurst city, Alabama",270,2000
0128432,"Fruithurst town, Alabama",284,2010
0128432,"Fruithurst town, Alabama",235,2020
0128504,"Fulton town, Alabama",308,2000
0128504,"Fulton town, Alabama",272,2010
0128504,"Fulton town, Alabama",223,2020
0128552,"Fultondale city, Alabama",6595,2000
0128552,"Fultondale city, Alabama",8380,2010
0128552,"Fultondale city, Alabama",9876,2020
0128672,"Fyffe town, Alabama",971,2000
0128672,"Fyffe town, Alabama",1018,2010
0128672,"Fyffe town, Alabama",967,2020
0128696,"Gadsden city, Alabama",38978,2000
0128696,"Gadsden city, Alabama",36856,2010
0128696,"Gadsden city, Alabama",33945,2020
0128768,"Gainesville town, Alabama",220,2000
0128768,"Gainesville town, Alabama",208,2010
0128768,"Gainesville town, Alabama",172,2020
0128816,"Gallant CDP, Alabama",855,2010
0128816,"Gallant CDP, Alabama",869,2020
0128936,"Gantt town, Alabama",241,2000
0128936,"Gantt town, Alabama",222,2010
0128936,"Gantt town, Alabama",196,2020
0128984,"Gantts Quarry town, Alabama",0,2000
0129032,"Garden City town, Alabama",564,2000
0129032,"Garden City town, Alabama",492,2010
0129032,"Garden City town, Alabama",528,2020
0129056,"Gardendale city, Alabama",11626,2000
0129056,"Gardendale city, Alabama",13893,2010
0129056,"Gardendale city, Alabama",16044,2020
0129296,"Gaylesville town, Alabama",140,2000
0129296,"Gaylesville town, Alabama",144,2010
0129296,"Gaylesville town, Alabama",170,2020
0129392,"Geiger town, Alabama",161,2000
0129392,"Geiger town, Alabama",170,2010
0129392,"Geiger town, Alabama",155,2020
0129464,"Geneva city, Alabama",4388,2000
0129464,"Geneva city, Alabama",4452,2010
0129464,"Geneva city, Alabama",4245,2020
0129560,"Georgiana town, Alabama",1737,2000
0129560,"Georgiana town, Alabama",1738,2010
0129560,"Georgiana town, Alabama",1324,2020
0129608,"Geraldine town, Alabama",786,2000
0129608,"Geraldine town, Alabama",896,2010
0129608,"Geraldine town, Alabama",910,2020
0129704,"Gilbertown town, Alabama",187,2000
0129704,"Gilbertown town, Alabama",215,2010
0129704,"Gilbertown town, Alabama",739,2020
0129944,"Glen Allen town, Alabama",442,2000
0129944,"Glen Allen town, Alabama",510,2010
0129944,"Glen Allen town, Alabama",433,2020
0129992,"Glencoe city, Alabama",5152,2000
0129992,"Glencoe city, Alabama",5160,2010
0129992,"Glencoe city, Alabama",5372,2020
0130160,"Glenwood town, Alabama",191,2000
0130160,"Glenwood town, Alabama",187,2010
0130160,"Glenwood town, Alabama",152,2020
0130448,"Goldville town, Alabama",37,2000
0130448,"Goldville town, Alabama",55,2010
0130448,"Goldville town, Alabama",52,2020
0130496,"Good Hope town, Alabama",1966,2000
0130496,"Good Hope town, Alabama",2264,2010
0130496,"Good Hope city, Alabama",2483,2020
0130640,"Goodwater city, Alabama",1633,2000
0130640,"Goodwater town, Alabama",1475,2010
0130640,"Goodwater town, Alabama",1291,2020
0130736,"Gordo town, Alabama",1677,2000
0130736,"Gordo town, Alabama",1750,2010
0130736,"Gordo town, Alabama",1628,2020
0130760,"Gordon town, Alabama",408,2000
0130760,"Gordon town, Alabama",332,2010
0130760,"Gordon town, Alabama",294,2020
0130808,"Gordonville town, Alabama",318,2000
0130808,"Gordonville town, Alabama",326,2010
0130808,"Gordonville town, Alabama",245,2020
0130880,"Goshen town, Alabama",300,2000
0130880,"Goshen town, Alabama",266,2010
0130880,"Goshen town, Alabama",269,2020
